"Item";"Descrição dos Serviços";"Quantidade";"Und.";"Valor Unitário";"Valor Total R$";"Fonte"
"1.0";"SERVIÇOS PRELIMINARES";"";"";"";"R$ 30.992,60";"[cite: 78, 79, 81]"
"1.1";"Mobilização e Desmobilização";"1";"vb";"R$ 4.000,00";"R$ 4.000,00";"[cite: 83, 82, 86, 85, 87, 89]"
"1.2";"Tapume cercamento da obra/Barracão e instalações provisórias";"1";"vb";"R$ 2.500,00";"R$ 2.500,00";"[cite: 90, 91, 93, 92, 94, 96]"
"1.3";"Execução de Gabarito e locação da obra( Prédio, Ilha de abastecimento e tanques)";"191,42";"m2";"R$ 30,00";"R$ 5.742,60";"[cite: 99, 98, 100, 103, 102, 106, 105]"
"1.4";"Aluguel de retroescavadeira para serviços gerais da obra";"1";"mês";"R$ 15.000,00";"R$ 15.000,00";"[cite: 109, 108, 110, 112, 111, 113, 115]"
"1.5";"Locação de Contêiner";"5";"mês";"R$ 750,00";"R$ 3.750,00";"[cite: 117, 118, 120, 119, 123, 122]"
"2.0";"PRÉDIO DE SERVIÇOS";"";"";"";"";"[cite: 124, 125]"
"2.1";"Fundação Edificação";"";"";"";"R$ 10.205,60";"[cite: 126, 127, 130]"
"2.1.1";"Sapatas 25und. (80x80cm) e Arranque de Pilar";"";"";"";"";"[cite: 128]"
"2.1.1.1";"Escavação manual sapatas";"31,2";"m3";"R$ 200,00";"R$ 6.240,00";"[cite: 132, 134, 133, 135, 137]"
"2.1.1.2";"Aço Sapatas/Arranque de Pilar (armaduras)";"297,7";"kg";"R$ 8,00";"R$ 2.381,60";"[cite: 140, 138, 142, 141, 143, 145]"
"2.1.1.3";"Concreto Sapatas e Arranque";"5,28";"m3";"R$ 300,00";"R$ 1.584,00";"[cite: 148, 146, 150, 149, 151, 153]"
"2.1.2";"Viga Baldrame Concreto Armado 40x15cm";"";"";"";"R$ 22.540,26";"[cite: 154, 156]"
"2.1.2.1";"Escavação manual viga baldrame";"10,19";"m3";"R$ 200,00";"R$ 2.038,00";"[cite: 159, 157, 160, 162, 161, 163, 165]"
"2.1.2.2";"Aço Viga baldrame (armaduras)";"622,72";"kg";"R$ 8,00";"R$ 4.981,76";"[cite: 168, 166, 170, 169, 172]"
"2.1.2.3";"Confecção e montagem de Forma";"104,8";"m2";"R$ 80,00";"R$ 8.384,00";"[cite: 175, 173, 177, 176, 178, 180]"
"2.1.2.4";"Concreto Viga Baldrame";"9,4";"m3";"R$ 300,00";"R$ 2.820,00";"[cite: 181, 183, 182, 189, 186]"
"2.1.2.5";"Desforma";"104,8";"m2";"R$ 15,00";"R$ 1.572,00";"[cite: 189]"
"2.1.2.6";"Impermeabilização Viga baldrame";"124,45";"m2";"R$ 10,00";"R$ 1.244,50";"[cite: 189]"
"2.1.2.7";"Aterro e compactação do interno e ao entorno";"1";"vb";"R$ 1.500,00";"R$ 1.500,00";"[cite: 189]"
"2.2";"Infraestrutura";"";"";"";"";"[cite: 189]"
"2.2.1";"Pilares e vigas superiores em concreto armado";"";"";"";"R$ 20.995,90";"[cite: 189]"
"2.2.1.1";"Forma e Desforma Pilares/Vigas";"82,5";"m2";"R$ 95,00";"R$ 7.837,50";"[cite: 189]"
"2.2.1.2";"Aço Armação";"931,2";"kg";"R$ 8,00";"R$ 7.449,60";"[cite: 189]"
